experiment,factor,n_jobs,n_train_used,n_test_used,d_used,time_metric,time_s,t1_s,ideal_time_s,speedup,efficiency,overhead_time_s,overhead_fraction
samples,1,1,212,91,13,total_time_s_avg,0.002376,0.002376,0.002376,1.0,1.0,0.0,0.0
samples,1,2,212,91,13,total_time_s_avg,0.001225,0.002376,0.001188,1.939591836734694,0.969795918367347,3.6999999999999924e-05,0.030204081632653
samples,1,4,212,91,13,total_time_s_avg,0.001219,0.002376,0.000594,1.9491386382280558,0.48728465955701394,0.000625,0.5127153404429861
samples,1,8,212,91,13,total_time_s_avg,0.001204,0.002376,0.000297,1.973421926910299,0.24667774086378738,0.000907,0.7533222591362126
samples,1,16,212,91,13,total_time_s_avg,0.0012,0.002376,0.0001485,1.9800000000000002,0.12375000000000001,0.0010515,0.87625
samples,1,32,212,91,13,total_time_s_avg,0.001224,0.002376,7.425e-05,1.9411764705882353,0.06066176470588235,0.00114975,0.9393382352941175
samples,2,1,424,91,13,total_time_s_avg,0.0014,0.0014,0.0014,1.0,1.0,0.0,0.0
samples,2,2,424,91,13,total_time_s_avg,0.001297,0.0014,0.0007,1.079414032382421,0.5397070161912105,0.000597,0.4602929838087895
samples,2,4,424,91,13,total_time_s_avg,0.001345,0.0014,0.00035,1.0408921933085502,0.26022304832713755,0.000995,0.7397769516728624
samples,2,8,424,91,13,total_time_s_avg,0.001286,0.0014,0.000175,1.088646967340591,0.13608087091757387,0.001111,0.8639191290824261
samples,2,16,424,91,13,total_time_s_avg,0.001306,0.0014,8.75e-05,1.0719754977029097,0.06699846860643185,0.0012185000000000002,0.9330015313935682
samples,2,32,424,91,13,total_time_s_avg,0.001342,0.0014,4.375e-05,1.0432190760059612,0.03260059612518629,0.0012982500000000001,0.9673994038748137
samples,4,1,848,91,13,total_time_s_avg,0.001458,0.001458,0.001458,1.0,1.0,0.0,0.0
samples,4,2,848,91,13,total_time_s_avg,0.001437,0.001458,0.000729,1.0146137787056368,0.5073068893528184,0.0007079999999999999,0.4926931106471816
samples,4,4,848,91,13,total_time_s_avg,0.00146,0.001458,0.0003645,0.9986301369863014,0.24965753424657536,0.0010955,0.7503424657534247
samples,4,8,848,91,13,total_time_s_avg,0.00145,0.001458,0.00018225,1.0055172413793105,0.12568965517241382,0.0012677499999999998,0.8743103448275861
samples,4,16,848,91,13,total_time_s_avg,0.001527,0.001458,9.1125e-05,0.9548133595284873,0.05967583497053046,0.0014358749999999999,0.9403241650294695
samples,4,32,848,91,13,total_time_s_avg,0.001439,0.001458,4.55625e-05,1.01320361362057,0.03166261292564281,0.0013934375,0.9683373870743571
samples,8,1,1696,91,13,total_time_s_avg,0.001731,0.001731,0.001731,1.0,1.0,0.0,0.0
samples,8,2,1696,91,13,total_time_s_avg,0.001729,0.001731,0.0008655,1.001156737998843,0.5005783689994215,0.0008635000000000001,0.4994216310005784
samples,8,4,1696,91,13,total_time_s_avg,0.001732,0.001731,0.00043275,0.9994226327944572,0.2498556581986143,0.00129925,0.7501443418013857
samples,8,8,1696,91,13,total_time_s_avg,0.001796,0.001731,0.000216375,0.9638084632516702,0.12047605790645878,0.001579625,0.8795239420935412
samples,8,16,1696,91,13,total_time_s_avg,0.00175,0.001731,0.0001081875,0.9891428571428571,0.06182142857142857,0.0016418125,0.9381785714285714
samples,8,32,1696,91,13,total_time_s_avg,0.001749,0.001731,5.409375e-05,0.9897084048027445,0.030928387650085765,0.0016949062499999998,0.9690716123499141
samples,16,1,3392,91,13,total_time_s_avg,0.002319,0.002319,0.002319,1.0,1.0,0.0,0.0
samples,16,2,3392,91,13,total_time_s_avg,0.002429,0.002319,0.0011595,0.9547138740222313,0.47735693701111565,0.0012695000000000002,0.5226430629888844
samples,16,4,3392,91,13,total_time_s_avg,0.00232,0.002319,0.00057975,0.9995689655172413,0.24989224137931032,0.00174025,0.7501077586206897
samples,16,8,3392,91,13,total_time_s_avg,0.002352,0.002319,0.000289875,0.985969387755102,0.12324617346938775,0.0020621249999999997,0.8767538265306122
samples,16,16,3392,91,13,total_time_s_avg,0.002362,0.002319,0.0001449375,0.9817950889077053,0.06136219305673158,0.0022170625,0.9386378069432684
samples,16,32,3392,91,13,total_time_s_avg,0.002327,0.002319,7.246875e-05,0.9965620971207563,0.031142565535023634,0.00225453125,0.9688574344649763
features,1,1,212,91,13,total_time_s_avg,0.001196,0.001196,0.001196,1.0,1.0,0.0,0.0
features,1,2,212,91,13,total_time_s_avg,0.001245,0.001196,0.000598,0.9606425702811245,0.48032128514056227,0.000647,0.5196787148594377
features,1,4,212,91,13,total_time_s_avg,0.001281,0.001196,0.000299,0.9336455893832943,0.23341139734582358,0.000982,0.7665886026541764
features,1,8,212,91,13,total_time_s_avg,0.001202,0.001196,0.0001495,0.9950083194675541,0.12437603993344426,0.0010525,0.8756239600665559
features,1,16,212,91,13,total_time_s_avg,0.001235,0.001196,7.475e-05,0.968421052631579,0.060526315789473685,0.00116025,0.9394736842105263
features,1,32,212,91,13,total_time_s_avg,0.001244,0.001196,3.7375e-05,0.9614147909967845,0.030044212218649516,0.001206625,0.9699557877813504
features,2,1,212,91,26,total_time_s_avg,0.001225,0.001225,0.001225,1.0,1.0,0.0,0.0
features,2,2,212,91,26,total_time_s_avg,0.001212,0.001225,0.0006125,1.0107260726072607,0.5053630363036303,0.0005995,0.4946369636963696
features,2,4,212,91,26,total_time_s_avg,0.001228,0.001225,0.00030625,0.997557003257329,0.24938925081433225,0.0009217499999999999,0.7506107491856677
features,2,8,212,91,26,total_time_s_avg,0.00125,0.001225,0.000153125,0.98,0.1225,0.001096875,0.8775
features,2,16,212,91,26,total_time_s_avg,0.00126,0.001225,7.65625e-05,0.9722222222222221,0.06076388888888888,0.0011834375,0.939236111111111
features,2,32,212,91,26,total_time_s_avg,0.001259,0.001225,3.828125e-05,0.9729944400317713,0.030406076250992852,0.00122071875,0.9695939237490072
features,4,1,212,91,52,total_time_s_avg,0.001281,0.001281,0.001281,1.0,1.0,0.0,0.0
features,4,2,212,91,52,total_time_s_avg,0.001251,0.001281,0.0006405,1.023980815347722,0.511990407673861,0.0006104999999999999,0.48800959232613905
features,4,4,212,91,52,total_time_s_avg,0.001245,0.001281,0.00032025,1.0289156626506024,0.2572289156626506,0.00092475,0.7427710843373494
features,4,8,212,91,52,total_time_s_avg,0.00127,0.001281,0.000160125,1.0086614173228345,0.12608267716535432,0.0011098750000000002,0.8739173228346457
features,4,16,212,91,52,total_time_s_avg,0.001255,0.001281,8.00625e-05,1.0207171314741035,0.06379482071713147,0.0011749375,0.9362051792828685
features,4,32,212,91,52,total_time_s_avg,0.001276,0.001281,4.003125e-05,1.0039184952978057,0.03137245297805643,0.00123596875,0.9686275470219436
features,8,1,212,91,104,total_time_s_avg,0.001295,0.001295,0.001295,1.0,1.0,0.0,0.0
features,8,2,212,91,104,total_time_s_avg,0.001348,0.001295,0.0006475,0.9606824925816023,0.48034124629080116,0.0007005000000000001,0.5196587537091989
features,8,4,212,91,104,total_time_s_avg,0.001306,0.001295,0.00032375,0.9915773353751913,0.24789433384379783,0.00098225,0.7521056661562021
features,8,8,212,91,104,total_time_s_avg,0.001308,0.001295,0.000161875,0.9900611620795107,0.12375764525993883,0.001146125,0.8762423547400612
features,8,16,212,91,104,total_time_s_avg,0.001307,0.001295,8.09375e-05,0.9908186687069624,0.06192616679418515,0.0012260625,0.9380738332058148
features,8,32,212,91,104,total_time_s_avg,0.001284,0.001295,4.046875e-05,1.0085669781931463,0.03151771806853582,0.00124353125,0.9684822819314642
